,passenger_count,year,Month,Date,Day,Hour,distance,Predicted_fare
0,1,2015,1,27,1,13,1.2009460731276016,2.3549027466990116
1,1,2015,1,27,1,13,1.2312045033547776,2.376273547630991
2,1,2011,10,8,5,11,0.4815787971131485,1.6957069447096695
3,1,2012,12,1,5,21,1.0855380304427467,2.1667826750305745
4,1,2012,12,1,5,21,1.8543118401840102,2.67411117723862
5,1,2012,12,1,5,21,1.4404389451912563,2.361443830644994
6,1,2011,10,6,3,12,0.6573134060758054,1.8290564785494046
7,1,2011,10,6,3,12,3.1152960189817187,2.780972220574354
8,1,2011,10,6,3,12,1.5839070962176371,2.4506642905027944
9,1,2014,2,18,1,15,0.7418392017587127,2.0235762668392803
10,1,2014,2,18,1,15,1.1992672994591556,2.359077826866299
11,1,2014,2,18,1,15,1.7611591349976947,2.7475442411357527
12,1,2010,3,29,0,20,0.5438752416139686,1.7151483112446504
13,1,2010,3,29,0,20,0.9841374508754249,2.027976233015486
14,1,2011,10,6,3,3,1.2539144032316845,2.279741447844087
15,1,2011,10,6,3,3,1.8108061191262057,2.617733407628218
16,1,2012,7,15,6,16,0.26147004948964525,1.6874227929380974
17,1,2012,7,15,6,16,1.2616228782005496,2.310888014432089
18,1,2012,7,15,6,16,0.5768630337174274,1.7620782924956477
19,1,2012,7,15,6,16,0.3557719106681293,1.6914298728248347
20,1,2014,10,29,2,2,0.9752935228824977,2.112854425322357
21,1,2014,6,14,5,13,1.0882961086099254,2.2361673692739603
22,1,2014,6,14,5,13,0.835272091743209,2.060905035927914
23,1,2014,6,14,5,13,1.065157017864982,2.2361673692739603
24,1,2014,6,14,5,13,1.9139358530227044,2.7668528562027057
25,1,2014,6,14,5,13,0.7522113353654581,1.9956673906518536
26,1,2014,6,14,5,13,2.7282801639161867,2.7749289601948197
27,1,2014,6,14,5,13,2.3444820387954985,2.7749289601948197
28,1,2014,6,14,5,13,0.7629197804986374,2.0058638821108685
29,1,2014,6,14,5,13,1.7398292572387808,2.7635166543709784
30,1,2014,6,14,5,13,1.3610729424622285,2.4457936171269834
31,1,2014,6,14,5,13,0.7802790349090921,2.0421826383053308
32,1,2014,6,14,5,13,0.7278560907368083,1.993329089886636
33,1,2014,6,14,5,13,1.3542949066759349,2.4457936171269834
34,1,2014,6,14,5,13,1.116089961411918,2.270173970746477
35,1,2014,6,14,5,13,0.941389180153331,2.141885817197461
36,1,2014,6,14,5,13,0.763016133554383,2.0058638821108685
37,1,2014,6,14,5,13,0.6896387574482935,1.9139588728127406
38,1,2014,6,14,5,13,0.9432139169375222,2.141885817197461
39,1,2014,6,14,5,13,0.5402978115427539,1.8108495045202444
40,1,2014,6,14,5,13,2.08732177000151,2.7797043781110573
41,1,2014,6,14,5,13,1.2749804291363083,2.392960455022111
42,1,2014,6,14,5,13,1.9818456066455061,2.7812338738849656
43,1,2014,6,14,5,13,1.2143382447449997,2.356877071895298
44,1,2014,6,14,5,13,0.46256971471850816,1.7335121079303208
45,1,2014,6,14,5,13,1.4063104791629402,2.497287896153238
46,1,2014,6,14,5,13,0.6323837359645115,1.8974707972420515
47,1,2014,6,14,5,13,0.7983986682514657,2.0249846293489604
48,1,2014,6,14,5,13,0.7167473230883206,1.993329089886636
49,1,2014,6,14,5,13,0.528237018199624,1.802016414028536
50,1,2014,6,14,5,13,1.390336147205997,2.456322064378546
51,1,2014,6,14,5,13,1.480507586238828,2.5924450149285487
52,1,2014,6,14,5,13,1.965977667718984,2.787649739615917
53,1,2014,6,14,5,13,0.7448693656914599,1.9956673906518536
54,1,2014,6,14,5,13,0.8490447462902458,2.116015900839063
55,1,2014,6,14,5,13,1.761784424181812,2.763902588432509
56,1,2014,6,14,5,13,1.53243954709582,2.6201239168285673
57,1,2014,6,14,5,13,1.2339148709069174,2.3760981891072133
58,1,2014,6,14,5,13,1.5689414311201813,2.630647224850898
59,1,2014,6,14,5,13,1.5835149292823274,2.634960901716499
60,1,2014,6,14,5,13,0.8605063568376435,2.0944292760600995
61,1,2014,6,14,5,13,1.2842176235121425,2.4184271409393028
62,1,2014,6,14,5,13,0.5707369145229497,1.82285957285137
63,1,2014,6,14,5,13,0.6061546859029546,1.8433404448768371
64,1,2014,6,14,5,13,0.9297182945107829,2.1536397587611886
65,1,2014,6,14,5,13,0.8552252525215899,2.104323266816475
66,1,2014,6,14,5,13,1.3034353231932863,2.4175465727102785
67,1,2014,6,14,5,13,0.6952424728114261,1.9223730625354125
68,1,2014,6,14,5,13,0.4426671760770436,1.7624577676594417
69,1,2014,6,14,5,13,1.8749213942423046,2.7560912097728325
70,1,2014,6,14,5,13,0.8028923839401652,2.0249846293489604
71,1,2014,6,14,5,13,0.4913853859300868,1.7349103820497913
72,1,2014,6,14,5,13,1.3623622894814837,2.4457936171269834
73,1,2014,6,14,5,13,0.8630792604771585,2.0944292760600995
74,1,2014,6,14,5,13,1.2455829126983007,2.363733097039351
75,1,2014,6,14,5,13,1.3672005526346276,2.4457936171269834
76,1,2014,6,14,5,13,2.836307999606017,2.7749289601948197
77,1,2014,6,14,5,13,0.2740669270498337,1.6775832447752472
78,1,2014,6,14,5,13,0.3735541937393684,1.7106525992194626
79,1,2014,6,14,5,13,0.5782683279098955,1.8456590316629824
80,1,2014,6,14,5,13,0.7434259586077152,1.9956673906518536
81,1,2014,6,14,5,13,0.7309484446129683,1.993329089886636
82,1,2014,6,14,5,13,0.9275962278952549,2.1536397587611886
83,1,2014,6,14,5,13,1.2441616794275816,2.363733097039351
84,1,2014,6,14,5,13,1.9465007707633164,2.7928083328790767
85,1,2014,6,14,5,13,0.8167821418960147,2.0730974961672204
86,1,2014,6,14,5,13,0.37744621675591666,1.7106525992194626
87,1,2014,6,14,5,13,0.875480216859611,2.071356224515708
88,1,2014,6,14,5,13,1.816338352423936,2.7657584178897605
89,1,2014,6,14,5,13,1.2618841242512762,2.3730677848201784
90,1,2014,6,14,5,13,1.293883193746925,2.410006948781483
91,1,2014,6,14,5,13,1.1013919085909791,2.2485138118195596
92,1,2014,6,14,5,13,0.8023322944859361,2.0249846293489604
93,1,2014,6,14,5,13,0.7933098167351913,2.0249846293489604
94,1,2014,6,14,5,13,1.6422889366321136,2.670652408749008
